Date,Price,Open,High,Low,Vol.,Change %
08/01/2024,129.5,129,130,128.99,,0.39%
07/01/2024,129,129.38,133,127.13,,-0.29%
06/01/2024,129.38,132.904,132.904,128,,-0.48%
05/01/2024,130,135,136,128.1,,-3.35%
04/01/2024,134.5,131.5,135,129.35,,2.48%
03/01/2024,131.25,146.75,147,130.85,,-10.41%
02/01/2024,146.5,160.5,161,139.5,,-8.44%
01/01/2024,160,157,163.5,156.35,,2.24%
12/01/2023,156.5,153.3,157,153,,2.19%
11/01/2023,153.15,150.75,153.3,150.55,,1.79%
10/01/2023,150.45,148.1,150.8,148.1,,1.59%
09/01/2023,148.1,145.55,148.3,145.3,,1.86%
08/01/2023,145.4,142.45,145.6,142.2,,2.04%
07/01/2023,142.5,140.55,142.6,140.5,,1.42%
06/01/2023,140.5,138.6,140.65,138.4,,1.44%
05/01/2023,138.5,135.975,138.8,135.85,,1.91%
04/01/2023,135.9,132.3,136.1,132.3,,2.64%
03/01/2023,132.4,127.2,132.75,126.85,,4.38%
02/01/2023,126.85,124.45,127.3,124.3,,1.97%
01/01/2023,124.4,123.4,124.55,123.05,,0.89%
12/01/2022,123.3,122.45,123.5,122.3,,0.78%
11/01/2022,122.35,121.4,122.55,121.15,,0.91%
10/01/2022,121.25,120.7,121.45,120.65,,0.50%
09/01/2022,120.65,120,120.85,119.9,,0.46%
08/01/2022,120.1,118.85,120.2,118.6,,1.09%
07/01/2022,118.8,117.85,118.95,117.8,,0.85%
06/01/2022,117.8,116.7,117.95,116.7,,0.94%
05/01/2022,116.7,115.8,116.9,115.55,,0.86%
04/01/2022,115.7,114.9,115.85,114.9,,0.70%
03/01/2022,114.9,113.85,115,113.7,,1.01%
02/01/2022,113.75,113.55,113.88,113.5,,0.22%
01/01/2022,113.5,113,113.65,112.9,,0.40%
12/01/2021,113.05,112.5,113.2,112.3,,0.53%
11/01/2021,112.45,111.15,112.75,110.9,,1.12%
10/01/2021,111.2,110.35,111.4,110.35,,0.72%
09/01/2021,110.4,109.9,110.5,109.7,,0.55%
08/01/2021,109.8,108.6,109.935,108.55,,1.20%
07/01/2021,108.5,107.9,108.7,107.75,,0.65%
06/01/2021,107.8,107.7,108.2,107.45,,0.19%
05/01/2021,107.6,107.85,108.3,106.4,,-0.14%
04/01/2021,107.75,109.4,109.7,106.75,,-1.37%
03/01/2021,109.25,109.85,109.9,109.3,,-0.41%
02/01/2021,109.7,110.15,110.15,109.4,,-0.32%
01/01/2021,110.05,109.15,110.3,109.05,,0.87%
12/01/2020,109.1,110.05,111.78,108.45,,-0.82%
11/01/2020,110,108.85,110.2,108.75,,1.20%
10/01/2020,108.7,108.4,108.95,108.35,,0.28%
09/01/2020,108.4,108.25,108.75,108.05,,0.28%
08/01/2020,108.1,107.75,108.7,107.7,,0.42%
07/01/2020,107.65,106.5,108.4,106.4,,1.13%
06/01/2020,106.45,106.8,106.95,106,,-0.23%
05/01/2020,106.7,107.3,107.35,105.8,,-0.42%
04/01/2020,107.15,104.9,107.65,104.9,,1.95%
03/01/2020,105.1,101.15,106.9,100.95,,3.96%
02/01/2020,101.1,100.45,101.46,100.275,,0.80%
01/01/2020,100.3,101.35,101.75,100.375,,-0.94%
